rank,generation,fitness,route_json
11,635,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
12,636,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
13,637,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
14,638,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
15,639,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
16,640,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
17,641,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
18,642,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
19,643,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
20,644,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
21,645,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
22,646,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
23,647,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
24,648,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
25,649,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
26,650,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
27,651,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
28,652,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
29,653,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
30,654,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
31,655,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
32,656,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
33,657,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
34,658,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
35,659,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
36,660,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
37,661,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
38,662,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
39,663,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
40,664,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
41,665,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
